SUBJECT|ANT_E|ANT_E_BUCKET|RECALL|TRIAL|DATE|TIME|CONDITION|STIMULUS|PROFILE|SINGLE_OCC|HIGH_SPEED|INTELL_MATCH|INTELL_VISBL|SPEED_VISBL|OCC_VISBL|DECISION_POSSBL|SHOT|ERROR|DECISION_TIME|REACTION_TIME|FEEDBACK_TIME|HIT|MISS|CR|FA
1|1|1|1|1|18042013|11:19:00|1|36.WA(1,1,WA).avi|1,1,1|1|1|1|2500|10500|8100|8100|WAHR|0|15488|7388|15007|1|0|0|0
1|1|1|1|2|18042013|11:19:00|1|05.WA(0,1,WA).avi|0,1,1|0|1|1|3500|10500|10100|10100|FALSCH|0|14773|4673|9463|0|0|1|0
1|1|1|1|3|18042013|11:20:00|1|45.OS(0,0,OS).avi|0,0,1|0|0|1|2500|12500|12000|12000|FALSCH|0|14925|2925|3202|0|0|1|0
1|1|1|1|4|18042013|11:20:00|1|20.WA(0,1,WA).avi|0,1,1|0|1|1|3500|10500|10100|10100|FALSCH|0|13296|3196|2463|0|0|1|0
1|1|1|1|5|18042013|11:21:00|1|41.BV(1,1,BV).avi|1,1,1|1|1|1|2500|11500|11500|11500|WAHR|0|15320|3820|2459|1|0|0|0
1|1|1|1|6|18042013|11:21:00|1|48.OS(1,1,OS).avi|1,1,1|1|1|1|1500|11000|9800|9800|WAHR|0|13309|3509|2561|1|0|0|0
1|1|1|1|7|18042013|11:21:00|1|11.OS(0,1,WA).avi|0,1,0|0|1|0|1500|10000|7300|7300|FALSCH|0|10630|3330|1652|0|0|1|0
1|1|1|1|8|18042013|11:22:00|1|16.WA(0,1,OS).avi|0,1,0|0|1|0|5000|11000|10000|10000|FALSCH|0|13704|3704|3399|0|0|1|0
1|1|1|1|9|18042013|11:22:00|1|36.WA(1,1,WA).avi|1,1,1|1|1|1|2500|10500|8100|8100|WAHR|0|12361|4261|2859|1|0|0|0
1|1|1|1|10|18042013|11:22:00|1|20.WA(0,1,WA).avi|0,1,1|0|1|1|3500|10500|10100|10100|FALSCH|0|12897|2797|2733|0|0|1|0
1|1|1|1|11|18042013|11:22:00|1|33.WA(0,0,WA).avi|0,0,1|0|0|1|4500|11000|9500|9500|FALSCH|0|11640|2140|1743|0|0|1|0
1|1|1|1|12|18042013|11:23:00|1|24.BV(1,0,BV).avi|1,0,1|1|0|1|2500|12000|10699|10699|FALSCH|1|14850|4151|15015|0|1|0|0
1|1|1|1|13|18042013|11:23:00|1|38.BV(0,0,OS).avi|0,0,0|0|0|0|2500|14500|15800|14500|WAHR|1|11732|-2768|3633|0|0|0|1
1|1|1|1|14|18042013|11:24:00|1|13.OS(1,1,WA).avi|1,1,0|1|1|0|1500|11000|9800|11000|WAHR|0|11403|403|5374|1|0|0|0
1|1|1|1|15|18042013|11:24:00|1|08.BV(1,1,WA).avi|1,1,0|1|1|0|2500|11500|11500|11500|WAHR|0|13009|1509|5211|1|0|0|0
1|1|1|1|16|18042013|11:25:00|1|31.WA(0,0,BV).avi|0,0,0|0|0|0|4500|11000|9500|9500|FALSCH|0|11360|1860|2954|0|0|1|0
