Participant #;Condition;ANT-E;ANT-E*;SMT_Score
1;1;1;1;1.00
2;2;1;1;1.00
3;3;2;2;0.00
4;1;4;3;1.00
5;2;1;1;1.00
6;3;1;1;0.88
7;1;3;3;1.00
8;2;1;1;1.00
9;3;2;2;0.95
10;1;1;1;1.00
11;2;1;1;0.00
12;3;3;3;1.00
13;1;2;2;1.00
14;2;3;3;1.00
15;3;4;3;1.00
16;1;3;3;1.00
17;2;2;2;1.00
18;3;0;1;1.00
19;1;0;1;1.00
20;2;3;3;1.00
21;3;1;1;1.00
22;1;3;3;1.00
23;2;2;2;0.75
24;3;1;1;1.00
25;1;2;2;1.00
26;2;3;3;1.00
27;3;0;1;0.88
28;1;0;1;1.00
29;2;0;1;0.38
30;3;0;1;0.00
31;1;0;1;1.00
32;2;0;1;0.88
33;3;3;3;0.88
34;1;3;3;1.00
35;2;3;3;1.00
36;3;2;2;0.75
37;1;2;2;1.00
38;2;0;1;1.00
39;3;1;1;1.00
40;1;3;3;1.00
41;2;3;3;1.00
42;3;0;1;0.88
43;1;4;3;1.00
44;2;0;1;1.00
45;3;1;1;1.00
46;1;1;1;1.00
47;2;2;2;1.00
48;3;3;3;1.00
49;1;2;2;1.00
50;2;2;2;1.00
51;3;0;1;0.00
52;1;1;1;1.00
53;2;2;2;1.00
54;3;2;2;1.00
55;1;4;3;1.00
56;2;3;3;1.00
57;3;3;3;1.00
58;1;2;2;1.00
59;2;2;2;1.00
60;3;0;1;0.75
61;1;4;3;1.00
62;2;2;2;1.00
63;3;3;3;0.88
64;1;2;2;1.00
65;2;1;1;1.00
66;3;0;1;1.00
67;1;0;1;1.00
68;2;2;2;1.00
69;3;1;1;1.00
70;1;2;2;1.00
71;2;3;3;1.00
72;3;4;3;1.00
73;1;3;3;1.00
74;2;3;3;1.00
75;3;2;2;0.88
76;1;0;1;0.75
77;2;1;1;1.00
78;3;2;2;0.63
79;1;3;3;1.00
80;2;2;2;1.00
81;3;1;1;0.88
82;1;1;1;1.00
83;2;2;2;1.00
84;3;1;1;0.88
85;1;2;2;1.00
86;2;3;3;1.00
87;3;3;3;1.00
88;1;4;3;1.00
89;2;0;1;0.00
90;3;0;1;0.75
91;1;2;2;1.00
92;2;1;1;0.50
93;3;1;1;1.00
94;1;2;2;1.00
95;2;2;2;1.00
96;3;2;2;1.00
97;1;2;2;1.00
98;2;2;2;0.75
99;3;0;1;1.00
100;1;2;2;1.00
101;2;1;1;0.88
102;3;1;1;1.00
103;1;1;1;1.00
104;2;3;3;1.00
105;3;2;2;0.88
106;1;4;3;1.00
107;2;1;1;1.00
108;3;2;2;0.88
109;1;1;1;1.00
110;2;1;1;1.00
111;3;0;1;0.00
112;1;2;2;1.00
113;2;2;2;1.00
114;3;3;3;1.00
115;1;1;1;1.00
116;2;2;2;1.00
117;3;2;2;0.88
118;1;3;3;1.00
119;2;4;3;0.88
120;3;4;3;0.88
121;1;3;3;1.00
122;2;2;2;1.00
123;3;1;1;0.25
124;1;1;1;1.00
125;2;3;3;1.00
126;3;2;2;0.75
127;1;4;3;1.00
128;2;2;2;1.00
129;3;2;2;1.00
130;1;1;1;1.00
131;2;2;2;1.00
132;3;4;3;1.00
133;1;2;2;1.00
134;2;2;2;1.00
135;3;2;2;1.00
136;1;3;3;0.75
137;2;1;1;0.75
138;3;3;3;0.00
139;1;3;3;0.50
140;2;2;2;1.00
141;3;1;1;1.00
142;1;2;2;1.00
143;2;1;1;1.00
144;3;1;1;0.88
145;1;0;1;1.00
146;2;1;1;0.00
147;3;4;3;1.00
148;1;2;2;1.00
149;2;2;2;1.00
150;3;1;1;0.25
151;1;2;2;1.00
152;2;1;1;0.75
153;3;0;1;0.88
154;1;3;3;1.00
155;2;0;1;1.00
156;3;4;3;1.00
157;1;2;2;1.00
158;2;4;3;1.00
159;3;4;3;1.00
160;1;1;1;1.00
161;2;2;2;1.00
162;3;0;1;0.50
163;1;1;1;1.00
164;2;1;1;1.00
165;3;2;2;0.63
166;1;1;1;1.00
167;2;2;2;1.00
168;3;3;3;0.88
169;1;2;2;1.00
170;2;3;3;0.88
171;3;2;2;0.88
172;1;1;1;1.00
173;2;0;1;1.00
174;3;2;2;0.75
175;1;2;2;0.75
176;2;2;2;1.00
177;3;0;1;1.00
178;1;2;2;1.00
179;2;3;3;1.00
180;3;2;2;1.00
181;1;3;3;1.00
182;2;1;1;1.00
183;3;1;1;1.00
184;1;1;1;1.00
185;2;3;3;1.00
186;3;3;3;1.00
